job_title,company_name,location,post_Date,Qualifications,post_days_ago
Data Scientist,Lockheed Martin,"Raleigh, NC",25 days ago,Master's in Computer Science; Knowledge of machine learning algorithms,25
Quantitative Analyst,Zebra Technologies,"Kansas City, MO",3 days ago,PhD in Statistics; Experience with Agile methodologies; Experience in a fast-paced environment,3
Research Scientist,Lyft,"Tampa, FL",8 days ago,Familiarity with cloud services; Knowledge of machine learning algorithms; Experience with big data technologies,8
Quantitative Analyst,RingCentral,"Houston, TX",5 days ago,Strong programming skills in Python; Experience with SQL; Knowledge of machine learning algorithms,5
AI Researcher,Cisco,"Denver, CO",1 days ago,Familiarity with cloud services; Master's in Computer Science; Experience with big data technologies,1
Data Analyst,HP,"Seattle, WA",11 days ago,Excellent problem-solving skills; Proficiency in data visualization tools; Knowledge of statistical analysis; Master's in Computer Science,11
AI Researcher,Snap Inc.,"Boston, MA",4 days ago,5+ years of experience; Experience with big data technologies; Knowledge of machine learning algorithms,4
Statistician,NVIDIA,"Nashville, TN",17 days ago,Experience in a fast-paced environment; Knowledge of machine learning algorithms; Experience with big data technologies; Proficiency in data visualization tools,17
Data Scientist,Boeing,"New Orleans, LA",21 days ago,Proficiency in data visualization tools; Knowledge of machine learning algorithms; Familiarity with cloud services,21
Statistician,PepsiCo,"Omaha, NE",30 days ago,Knowledge of machine learning algorithms; Knowledge of statistical analysis; Excellent problem-solving skills,30
Data Analyst,General Motors,"Tampa, FL",19 days ago,Familiarity with cloud services; Knowledge of machine learning algorithms; Strong programming skills in Python; Experience with big data technologies,19
Data Engineer,PepsiCo,"Dallas, TX",17 days ago,Master's in Computer Science; 5+ years of experience,17
AI Researcher,Meta,"Fresno, CA",13 days ago,Experience with big data technologies; Ability to work in teams; Strong analytical thinking; Strong communication skills,13
Statistician,American Express,"Sacramento, CA",21 days ago,Master's in Computer Science; Experience with SQL,21
Data Engineer,Anthem,"Houston, TX",16 days ago,Ability to work in teams; Knowledge of machine learning algorithms; 5+ years of experience; Strong analytical thinking,16
Business Analyst,General Electric,"Portland, OR",8 days ago,Proficiency in data visualization tools; Ability to work in teams,8
Statistician,Bank of America,"Birmingham, AL",10 days ago,Strong communication skills; Experience in a fast-paced environment,10
Statistician,Caterpillar,"Mountain View, CA",16 days ago,Excellent problem-solving skills; Experience with SQL,16
Business Analyst,Intel,"Tampa, FL",8 days ago,Master's in Computer Science; Experience with big data technologies; Experience with SQL,8
Statistician,Nordstrom,"Miami, FL",7 days ago,Strong programming skills in Python; Knowledge of machine learning algorithms; Excellent problem-solving skills,7
Data Architect,Boeing,"Cleveland, OH",11 days ago,Proficiency in data visualization tools; Knowledge of statistical analysis,11
AI Researcher,Verizon,"Sacramento, CA",13 days ago,Knowledge of statistical analysis; Familiarity with cloud services,13
Data Analyst,IBM,"Philadelphia, PA",13 days ago,Knowledge of machine learning algorithms; Proficiency in data visualization tools; PhD in Statistics,13
Data Architect,Walt Disney,"Tucson, AZ",15 days ago,PhD in Statistics; Strong communication skills; Strong programming skills in Python; Proficiency in data visualization tools,15
Business Analyst,Pfizer,"Houston, TX",24 days ago,Knowledge of machine learning algorithms; Master's in Computer Science; Experience with big data technologies; Knowledge of statistical analysis,24
Data Analyst,American Airlines,"Virginia Beach, VA",7 days ago,Familiarity with cloud services; Strong communication skills; Excellent problem-solving skills; Knowledge of machine learning algorithms,7
Data Engineer,Apple,"Baltimore, MD",7 days ago,Experience with Agile methodologies; Master's in Computer Science; Experience with big data technologies; PhD in Statistics,7
Quantitative Analyst,eBay,"New York, NY",1 days ago,Strong programming skills in Python; Master's in Computer Science,1
Data Analyst,Boeing,"San Diego, CA",5 days ago,Familiarity with cloud services; Ability to work in teams,5
Data Scientist,Walmart,"Nashville, TN",15 days ago,Proficiency in data visualization tools; Strong communication skills,15
Data Architect,3M,"Atlanta, GA",8 days ago,Knowledge of machine learning algorithms; PhD in Statistics; Experience in a fast-paced environment,8
Machine Learning Engineer,Hilton,"Minneapolis, MN",30 days ago,Familiarity with cloud services; Strong analytical thinking; PhD in Statistics; Strong communication skills,30
Data Analyst,Boeing,"Birmingham, AL",2 days ago,Proficiency in data visualization tools; Ability to work in teams; Familiarity with cloud services,2
Quantitative Analyst,Intuit,"Salt Lake City, UT",3 days ago,Strong analytical thinking; Excellent problem-solving skills; Familiarity with cloud services,3
Research Scientist,Chevron,"Long Beach, CA",12 days ago,Strong analytical thinking; Experience with SQL; PhD in Statistics; Excellent problem-solving skills,12
Statistician,PepsiCo,"Goleta, CA",20 days ago,Proficiency in data visualization tools; Experience with Agile methodologies,20
Data Engineer,Caterpillar,"Detroit, MI",18 days ago,Proficiency in data visualization tools; Master's in Computer Science; Knowledge of statistical analysis; Ability to work in teams,18
Quantitative Analyst,Verizon,"Portland, OR",5 days ago,Proficiency in data visualization tools; 5+ years of experience,5
Data Scientist,American Express,"Phoenix, AZ",2 days ago,Ability to work in teams; Strong analytical thinking; Experience with Agile methodologies; Proficiency in data visualization tools,2
